237636	10
110908	-32
86492	-26
54040	3
257320	-7
138460	-51
135632	36
296296	38
277312	100
242032	-15
228704	-71
284256	-5
32676	15
187236	8
13244	-45
44828	-75
161980	-15
24360	-22
55524	-15
81508	5
182728	-35
58716	-70
297976	-55
17248	-78
161812	-26
15120	32
165872	40
37912	-56
33656	46
282716	-3
223328	-39
141064	4
231420	38
111440	-9
83440	-41
221480	-38
31024	29
221004	65
206388	48
220780	-64
30436	37
99624	-31
192192	-37
1596	5
23408	48
268324	5
171080	-25
226604	13
283752	30
67284	-34
153860	-102
125076	38
182336	11
18872	40
94836	25
113540	3
35420	11
283024	72
70028	-19
143584	4
273028	-21
260456	-52
196224	107
150724	-64
153188	-25
215964	-65
289072	32
277452	20
43204	31
241836	48
45108	-16
195608	89
41272	14
187852	-28
29316	-35
131628	-36
36232	-55
154756	5
179984	16
282912	6
150052	-23
79716	-10
285992	94
69776	4
234248	2
131572	-17
225540	-23
140980	78
207676	67
123172	-71
276164	50
279272	14
214172	7
209412	46
120344	43
126896	30
247380	-3
237132	-16
202188	30
130312	96
122248	29
42924	17
28448	-31
216832	-22
95676	-39
299264	-17
25116	13
54992	-28
258188	45
96600	62
1344	74
209944	6
241780	56
187460	-12
244412	37
159824	67
260680	9
279468	11
128464	-16
100212	23
280700	36
239316	-2
218568	7
195860	-51
136528	16
207060	-34
81368	6
68236	32
50064	25
251524	70
149940	-65
195020	-31
247464	-58
11172	97
169960	23
2744	41
30408	60
11480	-2
223888	-8
29876	66
13160	108
240044	-7
62300	-9
298956	-26
237104	8
173348	-29
239596	17
293132	65
39984	32
29456	-22
192108	-115
296772	-95
187152	52
236320	11
221928	38
192864	15
107016	-29
279076	-12
210532	-12
289184	15
263088	72
77196	33
163100	28
242592	-3
294224	-10
239764	-35
43764	8
109144	18
243824	28
256256	-68
268576	-31
38836	3
66164	41
75572	-16
100772	28
210308	59
247940	36
11956	29
236376	31
146888	60
67480	-100
185724	35
8512	-7
123760	-28
164836	-3
102228	23
38248	-7
136920	15
225176	13
217616	15
247716	29
274904	-42
43456	-15
194208	-6
36512	-52
182448	35
261744	-57
221536	15
256396	-65
106120	13
3304	14
99064	-7
199360	-1
67900	-24
191296	-29
172256	13
169848	-20
27076	-60
51072	48
204148	35
139860	47
55300	56
233828	-6
12992	65
140700	51
236796	14
246932	-15
46284	16
211400	71
148876	31
126448	7
218176	35
144592	-79
267344	10
54264	-9
245280	-43
92708	28
255808	89
146020	46
133084	7
280420	-94
115920	48
284732	-19
191268	7
12628	-15
267708	-19
25508	31
31416	-46
141148	14
103320	-3
28140	-30
38360	-39
298508	-22
11536	18
165256	-19
281512	53
156744	-19
266280	-28
70924	-60
240324	1
110096	-11
231000	-9
210672	-5
121996	-45
80276	-42
45864	86
199556	-7
46676	60
78400	36
14364	-12
204204	33
98476	-37
197988	14
236236	-15
250684	37
134456	-3
54852	-20
202048	-45
214620	35
231532	-72
88284	3
51100	-7
271348	-10
210280	31
124824	9
274260	22
211624	-67
248584	18
115332	67
242116	13
51212	29
257432	-10
7392	-51
144480	67
52696	-85
106932	38
245504	-7
39368	34
114044	7
299152	-22
138572	2
225932	32
57876	19
13216	-37
179060	-33
296268	-23
170324	-50
132776	-14
39200	61
188552	-29
188692	5
277480	32
34524	8
136556	23
202440	67
13888	4
184996	-15
71876	39
289940	11
26572	-44
166124	-28
238532	22
222684	22
11060	50
284844	13
255780	-28
238616	12
3220	-30
277648	34
197260	27
266728	26
86576	-25
131348	25
6552	12
144088	72
293664	-7
63532	8
31864	14
255696	-1
257656	-21
270088	-67
37968	-29
220500	-34
95872	-71
213472	-20
102424	78
49252	-17
173600	-52
73192	-10
64484	6
281092	-83
162680	27
268128	50
295708	-55
260400	77
13412	23
234668	-4
285012	113
250740	25
77476	46
130088	-90
3416	-33
270368	20
105420	20
120288	35
90692	36
125496	-35
79268	-3
252868	25
271992	26
249956	76
21532	-30
215824	-10
167608	15
272972	12
23548	22
272496	-70
89964	-2
278964	11
6944	34
250488	-3
204064	22
218008	38
34244	0
1092	-21
123676	-20
16604	-90
291592	-37
140896	29
233156	-3
83692	2
162120	62
141512	-22
271320	75
21700	-11
198128	81
34328	28
235648	24
22652	-10
144256	2
3360	-37
225316	-51
13020	53
78176	0
92932	49
271880	7
105756	32
132440	-68
249536	-26
136080	-30
249844	39
203980	4
216440	25
290668	-60
237496	1
84924	-7
254968	75
15344	40
57596	-26
23296	8
248528	69
122556	-40
38024	0
207396	14
198072	29
137340	8
98504	33
114072	22
60256	-29
110208	-35
168756	56
90188	58
117684	37
230636	-41
15792	-22
101584	50
30268	-21
232680	15
109396	21
40096	-7
15540	-23
134260	49
6244	-45
46704	-104
146692	-92
76188	2
135744	-3
134176	-30
240436	-69
110068	-70
124320	35
111552	-3
63168	16
103572	-48
30912	-49
91532	-18
10052	-84
13972	24
28280	-60
232596	3
183876	62
142268	1
40908	74
127540	28
257768	39
111020	-4
10444	-74
66472	45
19404	60
48860	-6
8260	51
208460	-13
251356	-6
88984	40
115808	10
179200	-27
254912	-45
232764	-45
208964	-36
113652	21
255388	2
46200	53
170912	3
5544	-7
71736	19
17108	18
264544	36
153776	-19
44520	-35
53452	3
156072	12
161588	-16
141708	87
163912	14
269164	61
25788	97
82208	16
268156	-15
231840	44
124236	54
159936	56
134708	39
1288	28
86464	-51
153944	-58
198912	-23
137760	53
282128	45
290024	34
98364	9
272440	-4
200312	-30
203000	-55
294196	18
118384	-45
146580	6
259644	48
256956	35
41020	-6
121744	-25
151004	37
97664	31
96712	11
154840	32
213920	-17
173124	23
283920	39
49056	-10
298676	58
181860	-4
28364	31
78232	15
194768	13
211820	-49
116732	19
152096	21
172732	52
219576	-52
260120	3
17192	14
29988	8
63700	-12
282156	-15
119560	-43
252112	-94
119224	-48
22316	-37
213052	-31
70140	-35
216692	55
186816	-44
249508	-51
170968	-22
68348	52
54432	83
262640	-17
2548	-63
86324	2
116816	1
7280	10
284116	-55
252420	66
272748	-16
152628	28
76160	-4
299376	-9
177772	8
168868	-7
252532	-19
79520	65
